notif_id,all,interacted,interaction_rate,category
406173,25169,977,0.038817593070841115,7
406289,39408,1437,0.0364646772228989,7
406320,88494,3344,0.03778787262413271,7
408582,25227,1368,0.05422761327149483,7
410149,11301,1014,0.08972657286965756,7
410311,14241,1070,0.07513517309177727,7
410587,7530,246,0.03266932270916335,2
410607,3324,152,0.0457280385078219,7
410720,18603,944,0.050744503574692255,7
410751,28214,2076,0.0735804919543489,0
410771,8623,602,0.06981329003826975,0
410822,4335,387,0.08927335640138408,0
410825,2398,145,0.060467055879899916,0
410840,7091,532,0.07502467917077986,0
410941,15457,1054,0.06818916995536004,0
410988,2911,168,0.057712126417038816,0
411042,4319,258,0.05973605001157675,0
411077,3555,208,0.05850914205344585,0
411102,2429,156,0.06422396047756278,0
411185,15030,1074,0.07145708582834331,0
411306,7603,418,0.05497829804024727,5
411647,10322,337,0.03264871149002131,0
412412,9387,524,0.05582188132523703,7
412464,6213,326,0.05247062610655078,7
412488,7727,374,0.048401708295586904,7
412673,15430,939,0.06085547634478289,7
412682,20436,1163,0.05690937561166569,7
412858,23327,897,0.03845329446564067,7
412868,21965,1709,0.0778055998178921,7
412905,85632,5607,0.06547785874439462,7
412907,5856,393,0.06711065573770492,7
412915,76774,3971,0.05172323963841926,7
412952,9746,586,0.06012723168479376,7
412953,143027,4887,0.034168373803547585,7
412959,34068,951,0.027914758717858403,7
412975,54544,2927,0.05366309768260487,7
412982,14754,899,0.06093262843974515,7
412985,73181,3952,0.0540030882332846,7
412992,19336,1175,0.06076748034753827,7
412993,55641,2118,0.038065455329702916,7
412997,7837,475,0.060609927268087276,7
412998,44107,3526,0.07994195932618406,7
413000,3458,91,0.02631578947368421,7
413021,12148,396,0.032597958511689167,7
413076,32357,3519,0.1087554470439163,0
413098,5375,488,0.09079069767441861,0
413100,11341,1299,0.11454016400670135,0
413169,7755,664,0.08562217923920051,0
413173,32649,2433,0.07451989341174309,5
413216,9293,367,0.0394920908210481,7
413265,7895,296,0.03749208359721343,7
413397,9816,729,0.07426650366748166,0
413410,9440,604,0.06398305084745763,7
413486,9895,776,0.07842344618494189,0
413709,14091,1784,0.12660563480235612,5
413732,45083,3074,0.06818534702659539,3
413740,5941,277,0.04662514728160242,7
413743,6158,279,0.045306917830464435,7
413754,7557,386,0.05107847029244409,7
413758,35414,2732,0.0771446320664144,2
413769,13850,542,0.039133574007220215,7
413780,7683,336,0.04373291682936353,7
413796,5619,243,0.043246129204484784,0
413857,11109,351,0.03159600324061572,7
413894,16382,1379,0.08417775607373947,2
413908,8575,351,0.040932944606413994,2
413945,20817,795,0.03818994091367632,7
413948,53065,2770,0.05220013191369076,7
413967,14187,1006,0.07090998801719885,7
414030,18145,2074,0.11430146045742628,7
414066,26843,1939,0.07223484707372499,7
414121,33245,1425,0.042863588509550306,7
414124,3238,186,0.05744286596664608,2
414125,11051,340,0.03076644647543209,0
414147,7602,350,0.04604051565377532,7
414150,12815,491,0.038314475224346466,7
414160,20430,6074,0.29730788056779245,0
414165,7163,248,0.03462236493089488,7
414187,18487,1039,0.05620165521717964,7
414219,16784,812,0.04837940896091516,7
414252,22969,1164,0.050676999434019765,7
414291,6002,326,0.054315228257247584,7
414336,8255,347,0.042035130224106605,7
414456,36064,865,0.02398513753327418,7
414467,21786,765,0.03511429358303498,5
414469,149327,3858,0.025835917148271912,7
414482,24178,1378,0.05699396145256018,7
414484,73868,3404,0.04608220068229815,7
414506,56651,1724,0.03043194294893294,7
414522,3691,235,0.06366838255215389,0
414540,7507,685,0.09124816837618223,0
414560,10815,673,0.06222838650023116,7
414589,44312,5849,0.13199584762592526,0
414593,9774,965,0.09873132801309596,0
414600,4973,467,0.09390709833098733,5
414603,5752,1089,0.18932545201668985,7
414616,18879,1402,0.07426240796652366,0
414617,401619,19362,0.048209870548953114,3
414637,109142,6838,0.06265232449469499,2
414642,7249,267,0.03683266657469996,7
414644,10926,452,0.04136921105619623,7
414648,345509,18386,0.05321424333374818,5
414665,25366,1196,0.04714972798233856,0
414669,85192,4525,0.05311531599211194,7
414704,17266,840,0.048650527047376345,0
414716,5806,335,0.05769893213916638,7
414731,13159,721,0.0547913975226081,7
414739,7190,537,0.07468706536856745,7
414764,75488,2351,0.031144022891055532,7
414779,13027,1444,0.1108467030014585,3
414781,31594,1730,0.054757232385896054,0
414813,7848,616,0.07849133537206932,7
414861,6250,439,0.07024,7
414910,9173,348,0.0379374250517824,7
414913,7785,306,0.03930635838150289,7
414921,7830,703,0.08978288633461047,7
414928,9094,343,0.037717176160105566,7
414929,18912,2940,0.15545685279187818,0
414961,53307,3579,0.06713940007878891,0
415026,8787,298,0.03391373620120633,0
415055,7647,573,0.07493134562573558,7
415204,7252,192,0.026475455046883617,7
415227,19202,1503,0.07827309655244245,7
