notif_id,day_of_week,hour,minute,category,text
568156,6,17,30,7,135 37 8 39 105 1503 1504 25 1 161 35 213
567822,6,15,46,7,72 104 1 139 93 95 137 66 537 332 139 93 495 11 1 95 137
567810,6,15,45,7,72 104 163 86 72 311 1712 1
567886,6,15,54,5,198 221 1426 538 1713 54 3 27 1714 716 38 145 1 1011 1588 2 1589 117 1 287 1715
568058,6,16,13,7,72 104 1 139 93 95 137 66 537 332 139 93 495 11 1 95 137
568117,6,16,21,3,130 21 122 169 47 66 56 178 45 179 103 206
470533,1,15,52,7,96 175 125 5 24 47 24 20 76 114 56 445 487 522 512 2 117 131
470677,1,16,10,0,1297 972 910 1505 1427 1298 873 911 804 1505 1427
470475,1,15,50,7,96 175 125 5 24 47 24 20 76 114 56 445 487 522 512 2 117 131
470517,1,15,51,7,96 175 125 5 24 47 24 20 76 114 56 445 487 522 512 2 117 131
470521,1,15,51,5,2 23 12 170 874 320 630 1 821 739 513 584 2 23 12 170 874 320 630 1 821 739 513 584
566919,6,13,46,5,1248 61 13 1506 19 1 1507 21 62 753 2 262 1249 1508 4 1070 1071 1509 1299 27 3 142 1209 32 1300
470557,1,15,53,7,96 175 125 5 24 47 24 20 76 114 56 445 487 522 512 2 117 131
567069,6,14,3,5,1248 61 13 1506 19 1 1507 21 62 753 2 262 1249 1508 4 1070 1071 1509 1299 27 3 142 1209 32 1300
565750,6,14,30,7,8 74 1428 176 37 116 8 2 91 10 717 1 1590 1716 77 10 1510 57 1717 940 46 1373 171 70 1718 1719 91 213
565455,6,14,32,7,576 631 1250 428 2 875 85 577 1 1301 10 1511
567267,6,14,33,7,568 556 611 514 235 539 468 73 540 523 541
470577,1,15,56,7,96 175 125 5 24 47 24 20 76 114 56 445 487 522 512 2 117 131
567174,6,14,24,2,434 55 8 435 675 88 218 6 96 208 2 23 25 436 175 24 1 23 11 30 5
470608,1,16,8,5,2 23 12 170 874 320 630 1 821 739 513 584
565433,6,14,41,7,576 631 1250 428 2 875 85 577 1 1301 10 1511
